Ruta ,X,Y,Direccion
10,21.833318,-102.293602,1
10,21.836578,-102.293574,1
10,21.840042,-102.293657,1
10,21.841377,-102.293524,1
10,21.841481,æ-102.295014,1
10,21.841616,æ-102.297359,1
10,21.841761,-102.299048,1
10,21.841955,-102.301383,1
10,21.843783,-102.301476,1
10,21.845496,-102.301476,1
10,21.848011,-102.301195,1
10,21.849636,-102.301122,1
10,21.850416,-102.304566,1
10,21.851093,æ-102.307409,1
10,21.851671,-102.310413,1
10,21.852467,æ-102.312784,1
10,21.853075,-102.314716,1
10,21.853582,-102.315799,1
10,21.854185,-102.317065,1
10,21.854981,-102.316604,1
10,21.855838,-102.315987,1
10,21.857785,-102.314667,1
10,21.859064,-102.313975,1
10,21.860971,-102.312892,1
10,21.862813,-102.311819,1
10,21.864147,-102.311014,1
10,21.865989,-102.309925,1
10,21.867836,-102.308815,1
10,21.871237,-102.306776,1
10,21.871854,-102.306197,1
10,21.872292,-102.304373,1
10,21.873128,-102.302292,1
10,21.873935,æ-102.300704,1
10,21.875179,-102.300929,1
10,21.877131,-102.301165,1
10,21.878744,-102.301444,1
10,21.880038,-102.301508,1
10,21.880715,-102.301444,1
10,21.880815,-102.301079,1
10,21.882089,-102.300886,1
10,21.882129,-102.299513,1
10,21.882746,-102.298011,1
10,21.882925,-102.297474,1
10,21.883881,-102.297871,1
10,21.884498,-102.297807,1
10,21.885663,-102.297506,1
10,21.886977,-102.296884,1
10,21.887784,-102.296466,1
10,21.888909,-102.295822,1
10,21.890063,-102.295092,1
10,21.890979,-102.295661,1
10,21.891945,-102.296348,1
10,21.893876,-102.296991,1
10,21.896425,æ-102.297807,1
10,21.898993,æ-102.298579,1
10,21.902019,-102.299545,1
10,21.903323,-102.299931,1
10,21.903463,-102.298086,1
10,21.903602,-102.296391,1
10,21.907375,-102.296788,1
10,21.915696,æ-102.297624,1
10,21.925092,æ-102.298096,1
10,21.929272,-102.298311,1
10,21.934646,-102.297796,1
10,21.936995,-102.297152,1
10,21.945792,-102.297496,1
10,21.949295,-102.296723,1
10,21.945912,-102.297367,2
10,21.937074,-102.297109,2
10,21.934845,-102.297882,2
10,21.929391,-102.298397,2
10,21.925291,-102.298139,2
10,21.915815,-102.297539,2
10,21.907534,-102.296852,2
10,21.903831,-102.296551,2
10,21.903552,102.300113,2
10,21.900805,-102.299212,2
10,21.899053,-102.298697,2
10,21.899829,-102.295994,2
10,21.894354,-102.295393,2
10,21.891407,-102.294985,2
10,21.889914,-102.293397,2
10,21.889118,-102.294148,2
10,21.886716,-102.296329,2
10,21.886596,-102.296344,2
10,21.884876,-102.295711,2
10,21.884065,-102.295325,2
10,21.883716,-102.295298,2
10,21.882253,-102.294826,2
10,21.881516,-102.294622,2
10,21.881282,-102.295555,2
10,21.881312,-102.295722,2
10,21.881083,-102.296564,2
10,21.880665,-102.297642,2
10,21.880555,-102.297663,2
10,21.879798,-102.297438,2
10,21.878255,-102.296988,2
10,21.875278,-102.296301,2
10,21.873924,-102.297009,2
10,21.874303,-102.298093,2
10,21.874442,-102.299262,2
10,21.874054,-102.300485,2
10,21.873735,-102.300807,2
10,21.872719,-102.303253,2
10,21.871982,-102.306054,2
10,21.871674,-102.306569,2
10,21.868049,-102.308854,2
10,21.862872,æ-102.311879,2
10,21.859307,-102.313918,2
10,21.856161,-102.315999,2
10,21.855244,-102.316665,2
10,21.854308,-102.317179,2
10,21.853133,-102.314733,2
10,21.851441,-102.309498,2
10,21.851022,-102.307481,2
10,21.849668,æ-102.301129,2
10,21.845366,-102.301537,2
10,21.841935,-102.301526,2
10,21.841632,-102.297353,2
10,21.841398,æ-102.293673,2
10,21.836488,-102.293673,2
10,21.831867,-102.293716,2