Hora,Ruta,X,Y,Direccion,Dia,Festivo
60100,50,21.842105,-102.354549,2,1,1
60200,50,21.843733,-102.354543,2,1,1
60300,50,21.844062,-102.354512,2,1,1
60400,50,21.844559,-102.354306,2,1,1
60500,50,21.847329,-102.352764,2,1,1
60600,50,21.84782,-102.352633,2,1,1
60700,50,21.848334,-102.352702,2,1,1
60800,50,21.850678,-102.353548,2,1,1
60900,50,21.850758,-102.353541,2,1,1
61000,50,21.851237,-102.353492,2,1,1
61100,50,21.851872,-102.353162,2,1,1
61200,50,21.851919,-102.352863,2,1,1
61300,50,21.85111,-102.351197,2,1,1
61400,50,21.850109,-102.347773,2,1,1
61500,50,21.849122,-102.344601,2,1,1
61600,50,21.848435,-102.342244,2,1,1
61700,50,21.847575,-102.339582,2,1,1
61800,50,21.846588,-102.336367,2,1,1
61900,50,21.845693,-102.333531,2,1,1
62000,50,21.84477,-102.330451,2,1,1
62100,50,21.843717,-102.327082,2,1,1
62200,50,21.843552,-102.326087,2,1,1
62300,50,21.843229,-102.323377,2,1,1
62400,50,21.842696,-102.320522,2,1,1
62500,50,21.84238,-102.318621,2,1,1
62600,50,21.842433,-102.31778,2,1,1
62700,50,21.843184,-102.314827,2,1,1
62800,50,21.843965,-102.31228,2,1,1
62900,50,21.844528,-102.310104,2,1,1
63000,50,21.845218,-102.307596,2,1,1
63100,50,21.845616,-102.305825,2,1,1
63200,50,21.845571,-102.304733,2,1,1
63300,50,21.845211,-102.30174,2,1,1
63400,50,21.844708,-102.297396,2,1,1
63500,50,21.844558,-102.293845,2,1,1
63600,50,21.845096,-102.293673,2,1,1
63700,50,21.849797,-102.293909,2,1,1
63800,50,21.852336,-102.294113,2,1,1
63900,50,21.852406,-102.292171,2,1,1
64000,50,21.849727,-102.29172,2,1,1
64100,50,21.845146,-102.290937,2,1,1
64200,50,21.844788,-102.290326,2,1,1
64300,50,21.845256,-102.28847,2,1,1
64400,50,21.846371,-102.281131,2,1,1
64500,50,21.847118,-102.277601,2,1,1
64600,50,21.848144,-102.275413,2,1,1
64700,50,21.851191,-102.271743,2,1,1
64800,50,21.850275,-102.272838,2,1,1
64900,50,21.85148,-102.271143,2,1,1
65000,50,21.855951,-102.253258,2,1,1
65100,50,21.857444,-102.251123,2,1,1
65200,50,21.858659,-102.250221,2,1,1
65300,50,21.865171,-102.246659,2,1,1
65400,50,21.865918,-102.245812,2,1,1
65500,50,21.866505,-102.245071,2,1,1
65600,50,21.868975,-102.244106,2,1,1
65700,50,21.877209,-102.247335,2,1,1
65800,50,21.889225,-102.252174,2,1,1
65900,50,21.89268,-102.253612,2,1,1
70000,50,21.896313,-102.253365,2,1,1
70100,50,21.899708,-102.253537,2,1,1
70200,50,21.907084,-102.257131,2,1,1
70300,50,21.91009,-102.259641,2,1,1
70400,50,21.917615,-102.262195,2,1,1
70500,50,21.920094,-102.261723,2,1,1
70600,50,21.92291,-102.262399,2,1,1
70700,50,21.92509,-102.263868,2,1,1
70800,50,21.928753,-102.267999,2,1,1
70900,50,21.941131,-102.278511,2,1,1
71000,50,21.942006,-102.280045,2,1,1
71100,50,21.944393,-102.289862,2,1,1
71200,50,21.948403,-102.312038,2,1,1
71300,50,21.950572,-102.32399,2,1,1
71400,50,21.952811,-102.335094,2,1,1
71500,50,21.954981,-102.338034,2,1,1
71600,50,21.953657,-102.338925,2,1,1
71700,50,21.95306,-102.343173,2,1,1
,50,21.842105,-102.354549,1,,
,50,21.843733,-102.354543,1,,
,50,21.844062,-102.354512,1,,
,50,21.844559,-102.354306,1,,
,50,21.847329,-102.352764,1,,
,50,21.84782,-102.352633,1,,
,50,21.848334,-102.352702,1,,
,50,21.850678,-102.353548,1,,
,50,21.850758,-102.353541,1,,
,50,21.851237,-102.353492,1,,
,50,21.851872,-102.353162,1,,
,50,21.851919,-102.352863,1,,
,50,21.85111,-102.351197,1,,
,50,21.850109,-102.347773,1,,
,50,21.849122,-102.344601,1,,
,50,21.848435,-102.342244,1,,
,50,21.847575,-102.339582,1,,
,50,21.846588,-102.336367,1,,
,50,21.845693,-102.333531,1,,
,50,21.84477,-102.330451,1,,
,50,21.843717,-102.327082,1,,
,50,21.843552,-102.326087,1,,
,50,21.843229,-102.323377,1,,
,50,21.842696,-102.320522,1,,
,50,21.84238,-102.318621,1,,
,50,21.842433,-102.31778,1,,
,50,21.843184,-102.314827,1,,
,50,21.843965,-102.31228,1,,
,50,21.844528,-102.310104,1,,
,50,21.845218,-102.307596,1,,
,50,21.845616,-102.305825,1,,
,50,21.845571,-102.304733,1,,
,50,21.845211,-102.30174,1,,
,50,21.845049,-102.299135,1,,
,50,21.846512,-102.299206,1,,
,50,21.847888,-102.299747,1,,
,50,21.849651,-102.299683,1,,
,50,21.850278,-102.297108,1,,
,50,21.849797,-102.293909,1,,
,50,21.845096,-102.293673,1,,
,50,21.844788,-102.290326,1,,
,50,21.845256,-102.28847,1,,
,50,21.846371,-102.281131,1,,
,50,21.847118,-102.277601,1,,
,50,21.848144,-102.275413,1,,
,50,21.851191,-102.271743,1,,
,50,21.850275,-102.272838,1,,
,50,21.85148,-102.271143,1,,
,50,21.855951,-102.253258,1,,
,50,21.857444,-102.251123,1,,
,50,21.858659,-102.250221,1,,
,50,21.865171,-102.246659,1,,
,50,21.865918,-102.245812,1,,
,50,21.866505,-102.245071,1,,
,50,21.868975,-102.244106,1,,
,50,21.877209,-102.247335,1,,
,50,21.889225,-102.252174,1,,
,50,21.89268,-102.253612,1,,
,50,21.896313,-102.253365,1,,
,50,21.899708,-102.253537,1,,
,50,21.907084,-102.257131,1,,
,50,21.91009,-102.259641,1,,
,50,21.917615,-102.262195,1,,
,50,21.920094,-102.261723,1,,
,50,21.92291,-102.262399,1,,
,50,21.92509,-102.263868,1,,
,50,21.928753,-102.267999,1,,
,50,21.941131,-102.278511,1,,
,50,21.942006,-102.280045,1,,
,50,21.944393,-102.289862,1,,
,50,21.948403,-102.312038,1,,
,50,21.950572,-102.32399,1,,
,50,21.952811,-102.335094,1,,
,50,21.954981,-102.338034,1,,
,50,21.953657,-102.338925,1,,
,50,21.95306,-102.343173,1,,
,2,21.873103,-102.237541,2,,
,2,21.865381,-102.235448,2,,
,2,21.864709,-102.235561,2,,
,2,21.867851,-102.244621,2,,
,2,21.866713,-102.245038,2,,
,2,21.865449,-102.246663,2,,
,2,21.858141,-102.250771,2,,
,2,21.856587,-102.252345,2,,
,2,21.852249,-102.269267,2,,
,2,21.860124,-102.269417,2,,
,2,21.860182,-102.282675,2,,
,2,21.862467,-102.282688,2,,
,2,21.866294,-102.282025,2,,
,2,21.873379,-102.281613,2,,
,2,21.878412,-102.281263,2,,
,2,21.881369,-102.282225,2,,
,2,21.884802,-102.2828,2,,
,2,21.88267,-102.290281,2,,
,2,21.885235,-102.291568,2,,
,2,21.88533,-102.291416,2,,
,2,21.887082,-102.292489,2,,
,2,21.885575,-102.294413,2,,
,2,21.884512,-102.296505,2,,
,2,21.886641,-102.297037,2,,
,2,21.865381,-102.235448,1,,
,2,21.864709,-102.235561,1,,
,2,21.867851,-102.244621,1,,
,2,21.866713,-102.245038,1,,
,2,21.865449,-102.246663,1,,
,2,21.858141,-102.250771,1,,
,2,21.856587,-102.252345,1,,
,2,21.852249,-102.269267,1,,
,2,21.860124,-102.269417,1,,
,2,21.860182,-102.282675,1,,
,2,21.862467,-102.282688,1,,
,2,21.866294,-102.282025,1,,
,2,21.873379,-102.281613,1,,
,2,21.878412,-102.281263,1,,
,2,21.881369,-102.282225,1,,
,2,21.884802,-102.2828,1,,
,2,21.893829,-102.285764,1,,
,2,21.891639,-102.293285,1,,
,2,21.890225,-102.295012,1,,
,2,21.886731,-102.296987,1,,
,39,21.916228,-102.20652,2,,
,39,21.91134,-102.211208,2,,
,39,21.908543,-102.212442,2,,
,39,21.906288,-102.211809,2,,
,39,21.900225,-102.213987,2,,
,39,21.895965,-102.215145,2,,
,39,21.891253,-102.215778,2,,
,39,21.887432,-102.218806,2,,
,39,21.883286,-102.227837,2,,
,39,21.88171,-102.229589,2,,
,39,21.879209,-102.234128,2,,
,39,21.877684,-102.235934,2,,
,39,21.877029,-102.239152,2,,
,39,21.874366,-102.243052,2,,
,39,21.87332,-102.245944,2,,
,39,21.869152,-102.244252,2,,
,39,21.867879,-102.244646,2,,
,39,21.871622,-102.251518,2,,
,39,21.870765,-102.252509,2,,
,39,21.869644,-102.257411,2,,
,39,21.873235,-102.258647,2,,
,39,21.874798,-102.260263,2,,
,39,21.875857,-102.263821,2,,
,39,21.875353,-102.265953,2,,
,39,21.873752,-102.268018,2,,
,39,21.873588,-102.287084,2,,
,39,21.872159,-102.293001,2,,
,39,21.878651,-102.294975,2,,
,39,21.878492,-102.29593,2,,
,39,21.882862,-102.297453,2,,
,39,21.883699,-102.295297,2,,
,39,21.880844,-102.294369,2,,
,39,21.88133,-102.292279,2,,
,39,21.916228,-102.20652,1,,
,39,21.91134,-102.211208,1,,
,39,21.908543,-102.212442,1,,
,39,21.906288,-102.211809,1,,
,39,21.900225,-102.213987,1,,
,39,21.895965,-102.215145,1,,
,39,21.891253,-102.215778,1,,
,39,21.887432,-102.218806,1,,
,39,21.883286,-102.227837,1,,
,39,21.88171,-102.229589,1,,
,39,21.879209,-102.234128,1,,
,39,21.877684,-102.235934,1,,
,39,21.877029,-102.239152,1,,
,39,21.874366,-102.243052,1,,
,39,21.87332,-102.245944,1,,
,39,21.869152,-102.244252,1,,
,39,21.867879,-102.244646,1,,
,39,21.871622,-102.251518,1,,
,39,21.870765,-102.252509,1,,
,39,21.869644,-102.257411,1,,
,39,21.873235,-102.258647,1,,
,39,21.874798,-102.260263,1,,
,39,21.875857,-102.263821,1,,
,39,21.875353,-102.265953,1,,
,39,21.873752,-102.268018,1,,
,39,21.873588,-102.287084,1,,
,39,21.872821,-102.290217,1,,
,39,21.878277,-102.291848,1,,
,39,21.879034,-102.291837,1,,
,39,21.881294,-102.292277,1,,
,42,21.91808,-102.248128,2,,
,42,21.916223,-102.24891,2,,
,42,21.913523,-102.252475,2,,
,42,21.91238,-102.251962,2,,
,42,21.91119,-102.253758,2,,
,42,21.909798,-102.253463,2,,
,42,21.908358,-102.256015,2,,
,42,21.907157,-102.256579,2,,
,42,21.906966,-102.257092,2,,
,42,21.899749,-102.25368,2,,
,42,21.89637,-102.253385,2,,
,42,21.892669,-102.253667,2,,
,42,21.869138,-102.244184,2,,
,42,21.86649,-102.245236,2,,
,42,21.865354,-102.246802,2,,
,42,21.858037,-102.250815,2,,
,42,21.856315,-102.252757,2,,
,42,21.852246,-102.269316,2,,
,42,21.859944,-102.26938,2,,
,42,21.860083,-102.282802,2,,
,42,21.857813,-102.282888,2,,
,42,21.846719,-102.281007,2,,
,42,21.842655,-102.280241,2,,
,42,21.836682,-102.280254,2,,
,42,21.834975,-102.288808,2,,
,42,21.91808,-102.248128,1,,
,42,21.916223,-102.24891,1,,
,42,21.913523,-102.252475,1,,
,42,21.91238,-102.251962,1,,
,42,21.91119,-102.253758,1,,
,42,21.909798,-102.253463,1,,
,42,21.908358,-102.256015,1,,
,42,21.907157,-102.256579,1,,
,42,21.906966,-102.257092,1,,
,42,21.899749,-102.25368,1,,
,42,21.89637,-102.253385,1,,
,42,21.892669,-102.253667,1,,
,42,21.869138,-102.244184,1,,
,42,21.86649,-102.245236,1,,
,42,21.865354,-102.246802,1,,
,42,21.858037,-102.250815,1,,
,42,21.856315,-102.252757,1,,
,42,21.852246,-102.269316,1,,
,42,21.859944,-102.26938,1,,
,42,21.860083,-102.282802,1,,
,42,21.857813,-102.282888,1,,
,42,21.846719,-102.281007,1,,
,42,21.842655,-102.280241,1,,
,42,21.836682,-102.280254,1,,
,42,21.834975,-102.288808,1,,
,20,21.879953,-102.251802,2,,
,20,21.883964,-102.256744,2,,
,20,21.886209,-102.255795,2,,
,20,21.8927,-102.258337,2,,
,20,21.89717,-102.258938,2,,
,20,21.896285,-102.265436,2,,
,20,21.894643,-102.267538,2,,
,20,21.896564,-102.271154,2,,
,20,21.899431,-102.270811,2,,
,20,21.900018,-102.27301,2,,
,20,21.896029,-102.278457,2,,
,20,21.9024,-102.283586,2,,
,20,21.902738,-102.285088,2,,
,20,21.900746,-102.292287,2,,
,20,21.898218,-102.301599,2,,
,20,21.895779,-102.310161,2,,
,20,21.8942,-102.311954,2,,
,20,21.89203,-102.312695,2,,
,20,21.881437,-102.312523,2,,
,20,21.874498,-102.312062,2,,
,20,21.868753,-102.310259,2,,
,20,21.867867,-102.30909,2,,
,20,21.866025,-102.298479,2,,
,20,21.865315,-102.2945,2,,
,20,21.86591,-102.287746,2,,
,20,21.866517,-102.281888,2,,
,20,21.868439,-102.276084,2,,
,20,21.869704,-102.272447,2,,
,20,21.871098,-102.271073,2,,
,20,21.873079,-102.270644,2,,
,20,21.878067,-102.271513,2,,
,20,21.884025,-102.272577,2,,
,20,21.88973,-102.27351,2,,
,20,21.893224,-102.276268,2,,
,20,21.895991,-102.278456,2,,
,20,21.879953,-102.251802,1,,
,20,21.883964,-102.256744,1,,
,20,21.886209,-102.255795,1,,
,20,21.8927,-102.258337,1,,
,20,21.89717,-102.258938,1,,
,20,21.896285,-102.265436,1,,
,20,21.894643,-102.267538,1,,
,20,21.896564,-102.271154,1,,
,20,21.899431,-102.270811,1,,
,20,21.900018,-102.27301,1,,
,20,21.896029,-102.278457,1,,
,20,21.9024,-102.283586,1,,
,20,21.902738,-102.285088,1,,
,20,21.900746,-102.292287,1,,
,20,21.898218,-102.301599,1,,
,20,21.895779,-102.310161,1,,
,20,21.8942,-102.311954,1,,
,20,21.89203,-102.312695,1,,
,20,21.881437,-102.312523,1,,
,20,21.874498,-102.312062,1,,
,20,21.868753,-102.310259,1,,
,20,21.867867,-102.30909,1,,
,20,21.866025,-102.298479,1,,
,20,21.865315,-102.2945,1,,
,20,21.86591,-102.287746,1,,
,20,21.866517,-102.281888,1,,
,20,21.868439,-102.276084,1,,
,20,21.869704,-102.272447,1,,
,20,21.871098,-102.271073,1,,
,20,21.873079,-102.270644,1,,
,20,21.878067,-102.271513,1,,
,20,21.884025,-102.272577,1,,
,20,21.88973,-102.27351,1,,
,20,21.893224,-102.276268,1,,
,20,21.895991,-102.278456,1,,